Geo_Descriptor
AK
AL
ALABAMA
ALASKA
ALBUQUERQUE
ALPS
ANDES
APPALACHIANS
AR
ARCTIC
ARIZONA
ARKANSAS
ARLINGTON
ATLANTA
ATLANTIC
AUSTIN
AVE
AVENUE
AZ
BALTIMORE
BAY
BLVD
BOSTON
BOULEVARD
BROOK
CA
CALIFORNIA
CANYON
CAPE
CENTRAL
CHARLOTTE
CHICAGO
CITY
CO
COASTAL
COLORADO
COLORADO SPRINGS
COLUMBIA
COLUMBUS
CONNECTICUT
COUNTY
COURT
CREEK
CT
DALE
DALLAS
DE
DELAWARE
DENVER
DETROIT
DR
DRIVE
EAST
EASTERN
EL PASO
ERIE
ESTATE
EVEREST
FARM
FIELD
FL
FLORIDA
FOREST
FORT WORTH
FRESNO
GA
GARDEN
GEORGIA
GLEN
GREAT LAKES
GROVE
GULF
HARBOR
HAWAII
HI
HIGHLAND
HIMALAYAS
HOUSTON
HUDSON
HURON
IA
ID
IDAHO
IL
ILLINOIS
IN
INDIAN
INDIANA
INDIANAPOLIS
IOWA
ISLAND
ISLE
JACKSONVILLE
KANSAS
KANSAS CITY
KENTUCKY
KS
KY
LA
LAKE
LANE
LAS VEGAS
LN
LOS ANGELES
LOUISIANA
LOUISVILLE
LOWLAND
MA
MAINE
MARYLAND
MASSACHUSETTS
MD
ME
MEADOW
MEMPHIS
MESA
MI
MIAMI
MICHIGAN
MILWAUKEE
MINNEAPOLIS
MINNESOTA
MISSISSIPPI
MISSOURI
MN
MO
MONTANA
MOOR
MOUNTAIN
MS
MT
MTN
NASHVILLE
NC
ND
NE
NEBRASKA
NEVADA
NEW HAMPSHIRE
NEW JERSEY
NEW MEXICO
NEW ORLEANS
NEW YORK
NEW YORK CITY
NH
NIAGARA
NJ
NM
NORTH
NORTH CAROLINA
NORTH DAKOTA
NORTHERN
NV
NY
NYC
OAKLAND
OCEAN
OH
OHIO
OK
OKLAHOMA
OKLAHOMA CITY
OMAHA
ONTARIO
OR
ORCHARD
OREGON
PA
PACIFIC
PEAK
PENNSYLVANIA
PHILADELPHIA
PHOENIX
PL
PLACE
PLAZA
PORT
PORTLAND
POTOMAC
PROVINCE
RALEIGH
RANCH
RANGE
RD
RHODE ISLAND
RI
RIDGE
RIVER
ROAD
ROCKIES
SACRAMENTO
SAN ANTONIO
SAN DIEGO
SAN FRANCISCO
SAN JOSE
SC
SD
SEA
SEATTLE
SHORE
SIERRA
SOUND
SOUTH
SOUTH CAROLINA
SOUTH DAKOTA
SOUTHERN
SPRINGS
ST
STATE
STREAM
STREET
SUPERIOR
TAHOE
TENNESSEE
TEXAS
TN
TOWN
TUCSON
TULSA
TX
UT
UTAH
VA
VALLEY
VERMONT
VILLAGE
VINEYARD
VIRGINIA
VIRGINIA BEACH
VT
WA
WASHINGTON
WASHINGTON DC
WAY
WEST
WEST VIRGINIA
WESTERN
WI
WICHITA
WISCONSIN
WOODS
WV
WY
WYOMING
