Descriptive_Term
Acidic
Aged
Aroma
Artisanal
Balanced
Barrel-Aged
Bitter
Botanical
Bouquet
Bready
Burn
Buttery
Caramel
Carbonated
Cask strength
Chocolate
Citrusy
Coffee
Cold-pressed
Creamy
Crisp
Cuvée
Double-distilled
Dry
Earthy
Estate
Estate-grown
Estery
Finish
Floral
Fruity
Full-bodied
Funky
Hand-crafted
Hand-picked
Harsh
Hazy
Hoppy
Juicy
Legs
Light-bodied
Limited Edition
Malty
Medicinal
Mineral
Non-chill filtered
Nutty
Oak-aged
Oaky
Peaty
Piney
Refreshing
Reserve
Resin
Roasty
Sessionable
Single-vineyard
Small Batch
Smoky
Smooth
Sour
Spicy
Sweet
Tannic
Tannin
Tart
Traditional
Unfiltered
Vanilla
Velvety
Vintage
Woody
